,flyer_name,text
18,week_10_page_1,Ameri
19,week_10_page_1,ricanmane.
20,week_10_page_1,AmeriCERFIFO
21,week_10_page_2,EARTH FARE 0
22,week_10_page_2,Sales Valid Wed. September 6 - Tues. September 12
23,week_10_page_2,ORIGINALSNATURAL *
24,week_10_page_2,"OKTOBERFEST 
IS HERE!"
25,week_10_page_2,GET ONE FREEBOGOBUY ONE
26,week_10_page_2,"NESE 
TRADITIONAL
FAMILY RECIPES 
OVEN ROASTED 
TURKEY BREAST
NO NITRATES OR NITRITES ADDED** 
NO ANTIBIOTICS HUMANELY 
EVER
RAISED"
27,week_10_page_2,"HEALTHY REWARDS 
OFFER WITH CARD
FRESH 
$499/Pack 
SAVE $1.30/Pack 
5-Pack Cookies 
From the Bakery 
Select Varieties 
Fresh Baked In-House with No Artificial 
Sweeteners, Flavors, or Preservatives 
Discount Taken at Register"
28,week_10_page_2,"HEALTHY REWARDS 
OFFER WITH CARD
BUY ONE, GET ONE"
29,week_10_page_2,sau
30,week_10_page_2,1939
31,week_10_page_2,"SAVE $1-$1.25 on 2
Egg Rolls & 
Spring Rolls 
From the Deli
All Varieties 
Artisanal Hand Rolled 
Vietnamese Style, No MSG
Discount Taken
at Register$799
FRESH 
SAVE $1 
Seasonal 
Fruit Galettes 
From the Bakery 
20 oz., All Varieties 
Made with real fruit and a 
real butter crust-no fillers. 
Discount Taken at RegisterFREE"
32,week_10_page_2,"2017OKTOBERFEST
INTRIESTESTER699ACO SIERAOKTOBERFESTOKTOBERFEST2017"
33,week_10_page_2,"2017ORA NEVADAOKTOBERFESTOKTOBERFEST
FESTENPOSTINE"
34,week_10_page_2,"SAVE $2/lb. 
Dietz & Watson 
Oven Roasted 
Turkey Breast
From the Deli 
Free of Added Nitrates and
Nitrites, Humanely Raised, 
Never Administered Antibiotics 
or Growth Hormones, Freshly
Sliced to Order$999/lb."
35,week_10_page_2,"$949SAVE 50¢ 
Sierra Nevada 
Oktoberfest & Pale Ale 
6 Pack Bottles, Select Varieties 
This year's collaboration is with Germany's 
Grauhaus Miltenberger and the result is 
this festival beer true to their style. 
$9.99 in OH, Everyday Low Price; 
$8.99 in FL, IN, & MI, Save 50¢$999 
SAVE $1
BALLAST POINT BALLAST POINT 
Ballast Point 
Pumpkin 
Down & 
Sculpin 
6 Pack Bottles, Select Varieties 
Caramel and toffee maltiness is the perfect 
backdrop for a boatload of roasted pumpkin. 
$10.99 in NC, Save $1; $10.99 in OH, 
Everyday Low Price; Not Available in MI & IN"
36,week_10_page_2,HALLS MILTENBERGER
37,week_10_page_2,NEW
38,week_10_page_2,"2/$6ANIC HO 
ORIGISAVE $3.98 on 2 
Hope 
Hummus 
8 oz., All Varieties 
Made with Extra Virgin 
Olive Oil. Organic, 
Non-GMO, Gluten Free, 
Kosher, and Vegan.НОРЕ 
| Rосоор хvNOSTAVNO SODE 
IN FREE GLUTEN FREE DAIRY FASE
SMIGA KASUGERENRenewLifeVEGANU, GLUTEN
FREE"
39,week_10_page_2,$999
40,week_10_page_2,HUMMUSORGANIC
41,week_10_page_2,DEDICATED TO THE CRAFT
42,week_10_page_2,"RUSTIC RED100%
CLEAN 
SAVE $1 
Maple Caramel Cake 
From the Bakery 
4 inch 
Maple cream frosting layered vanilla 
cake, topped with salted caramel and 
a Maple Cream Cookie. Baked Fresh in 
House with Cage-Free eggs.HEALTHY REWARDS 
OFFER WITH CARD$1099/lb. NEWSAVE $5/lb. 
Somerdale 
Rustic Red Cheddar 
Using a variation on a classic Cheddar 
recipe, this deep red English treat 
features a crumbly yet creamy paste 
with butter and light toffee flavor notes. 
Discount Taken at RegisterWESTMINSTER"
43,week_10_page_2,PUMPKIN DOWN
44,week_10_page_2,SCOTTISH ALL MITH PUMPINPUMPKIN DOWNSE
45,week_10_page_2,"IGINAL RECI
NET WT 8oz (2279)HOPE HOW GUITE"
46,week_10_page_2,RECIPE
47,week_10_page_2,"PACIFICA
SEA 
FOAM20% OFFVEGANCRUELTY
FREE"
48,week_10_page_2,"ON VEGAN
SELOZ.COMPLETE 
FACE WASH 
remove makeup 
cleanse and tone
coconut water 
sea algae complex
powerhouse 
antioxidants 
all skin types 
sulfate-freePound WE PLEDGE OUR FOOD IS FREE OF:Pacifica
BRAND 
WIDE SALE
All Sizes & Varieties 
Pacifica is deep rooted and committed to creating 
a line of award winning and sustainable natural
beauty products including mineral makeup, 
skincare, and incredible scented body care, all of
which are 100% vegan and cruelty-free."
49,week_10_page_2,"$949SAVE 50¢ 
Highland Brewing 
Clawhammer 
6 Pack, Select Varieties 
Full-bodied Marzen-style lager, brewed with 
traditional German malt and the finest noble hops. 
$8.99 in FL & TN, Save 50c; 
$8.49 in AL, GA, & OH, Save 50¢"
50,week_10_page_2,ULTIMATE SHAKE
51,week_10_page_2,"aalaiWgon. A spley hophy colom.Clouhammer 
OkcobertEST LOCER"
52,week_10_page_2,"Gris Free, PlaULTIMATE FLORA 
Uve Probiotic Culturesar20 PROTEIN 10 FIBER
10 BILLIONDIETARY SUPPLEMENTARenew"
53,week_10_page_2,"ee, Plant-Based, High Protein & Fiber Powe"
54,week_10_page_2,"20% 
OFFRenew Life 
Cleanses, Fiber Support, 
& Skinny Gut Shakes 
Select Sizes & Varieties 
USDA Certified Organic, plant-based, 
grain-free, high-protein and fiber shake. 
Helps build muscle, curbs your appetite, 
and supports healthy digestion."
55,week_10_page_2,OUR
56,week_10_page_2,"- Added hormones 
- High fructose corn syrup 
• Bleached or bromated flourAntibiotics 
Artificial sweeteners 
Artificial colors or flavors- Artificial fats and trans-fats
Artificial preservatives"
57,week_10_page_2,PHILOSOPHY
58,week_10_page_3,"Truroots 
Organic Pasta, 
Rice, & Quinoa 
5-12 oz., Select Varieties
These organic sprouted and 
unsprouted grains, beans, and 
seeds are perfect for everyday 
meals, are versatile and quick to 
prepare and have been dietary
staples for centuries.Sales Valid Wed. September 6 - Tues. September 12 EARTH FARE *ORGANIC 
Low Glycemic25% OFFORGANIC15"
59,week_10_page_3,"$799/lb.SAVE $1/lb. 
Bulk 
Pollinator Friendly 
Almond Butter 
Almond Butter gives you a dose of 
Vitamin E, helps lower cholesterol, 
and is high in magnesium, which 
boosts your overall heart health."
60,week_10_page_3,"EARTH 
FARE 
INATOR"
61,week_10_page_3,"ORGANIC2/$4SAVE $1 
Earthbound Farms
Frozen Fruit 
8-20 oz., Select Varieties 
Premium, organic fruit grown by
using sustainable farming and 
keeping synthetic chemicals out
of the environment.SAVE 98¢ on 2 
Noosa 
Yoghurt 
8 oz., Select Varieties 
Made with fresh, whole milk from happy 
cows in Northern Colorado that have 
never been treated with rBGH.$399"
62,week_10_page_3,"DRIEREHEALTH-ADE 
KOMBUCHAa bubbly probiotic teaPINK LADY APPLE:AZ OPINTOMORGANIC"
63,week_10_page_3,blueberryNOONA
64,week_10_page_3,FRSNDLY
65,week_10_page_3,finest
66,week_10_page_3,Foot
67,week_10_page_3,"PERFECT FOR PARTIES with FRIENDSOrganicRestaurant Style
TORTILLA CHIPSLATEJULYAMAZINGLY DELICIOUSVNETWIESTILO 
CAUDARTE"
68,week_10_page_3,Gluten FreeREADYtrū RootsConnected by NatureWhole GrainMinutes
69,week_10_page_3,"SAVE 98¢ on 2
Saffron Road 
Lentil Chips
4 oz., Select Varieties 
Healthy snacking that unlocks the 
power of lentils, which are dense in 
protein, high in fiber, and low in fat.2/$7PERIETT Gari"
70,week_10_page_3,"SAVE 98¢ on 2
Health Ade 
Kombucha 
16 oz., Select Varieties 
Certified Organic, non-GMO, 
Gluten-Free, Raw, Vegan, 
Kosher and 100% Natural.2/$7"
71,week_10_page_3,"COSOURCE 
CF Filtrsea saltBAKEDLENTIL CHIPSGRAMSSAFFRON 
ROAD• LETT FREE 
• TOE LESS FAT"
72,week_10_page_3,SEA SALTSNACKS
73,week_10_page_3,THIN & CRIS
74,week_10_page_3,"SPROUTED 
QUINOA"
75,week_10_page_3,"SAVE $1.98 on 2 
Lundberg 
Organic 
Ready-to-Eat Rice 
8 oz., Select Varieties 
Since 1937, the Lundberg family has 
been growing healthy, great tasting rice 
while respecting and sustaining the earth.2/$5ORGANICSEN
SUGGESTEN 
NET WT 80NET WT. 12 oz. (340"
76,week_10_page_3,11oz (3129)
77,week_10_page_3,"SAVE $2.98 on 2 
Late July 
Restaurant Style 
Tortilla Chips 
10-11 oz., Select Varieties 
Committed to sourcing the 
highest quality ingredients that 
are free of toxic persistent 
pesticides, artificial flavors, 
colors, and preservatives.•••••••2/$5ORGANICMADE WITHINGREDIENTS"
78,week_10_page_3,"ORGANIC 
Red & White 
Jasmine 90IMPORTED FROM THAILANDTHAI HOM MALI RICESTEAMEDNDBERUSDA 
ORGANIC"
79,week_10_page_3,"EarthboundORGANIC 
BLUEBERRIES"
80,week_10_page_3,να το
81,week_10_page_3,ORGANICfarm
82,week_10_page_3,"EARTH 
FAREO$699SAVE $2 
R.W. Knudsen 
Just Juices 
32 oz., Select Varieties 
Ripe, flavorful fruit is the key 
ingredient in these juices, 
and in some cases, it's the 
only ingredient.CON EARTH FARE BRAND"
83,week_10_page_3,Organic
84,week_10_page_3,OR A NICSuityJUST TART CHERRY
85,week_10_page_3,"KEEP FROZEN 
NET WT 10 oz (2849)"
86,week_10_page_3,"USDA 
CORE"
87,week_10_page_3,EARTH FARE
88,week_10_page_3,"HEALTHY 
REWARDSSIGN UP & WIN! 
Sign up for Healthy Rewards
and you could win a FREE 
Thanksgiving Meal, Greens for 
A Year, Clean Pantry Makeover, 
or $500 In Earth Fare Brand 
products. Already a Healthy
Rewards member? Text 
LIVE LONGER to 71700 and 
complete your account to enter. 
earthfare.com/giveaway
No Purchase Necessary."
89,week_10_page_3,"Organic Vanilla5-0.77 OZ (229) BARSPEANUT 
FREE25.crispy 
rice barsFREEPOR 3 DAR
80 
CALORESU"
90,week_10_page_3,"EVERYDAY 
LOW PRICE
Earth Fare 
Orange & 
Grapefruit
Juices
59 oz., 
Select Varieties 
Made with 100% juice, 
not from concentrate.
Free of artificial 
preservatives, flavors,
and sweeteners.$399"
91,week_10_page_3,"SAVE 50¢ 
Earth Fare 
Organic 
Cleaners 
32 oz., All Varieties 
These effective cleaners 
are hypo-allergenic, 
non-toxic, cruelty-free, 
and free of synthetic 
dyes and fragrances.$399ORGANIC"
92,week_10_page_3,"5$299
GLUTEN 
EVERYDAY ORGANIC
FREE 
LOW PRICE 
Earth Fare 
Organic Gluten-Free 
Crispy Rice Bars 
5 Pack, All Varieties 
Tasty, healthy, snacks that free of artificial 
flavors, sweeteners, and preservatives."
93,week_10_page_3,"Snack 
BarsUSDA 
ORGANIC"
94,week_10_page_3,DAIRYET VITA-
95,week_10_page_3,"EARTH 
FARE."
96,week_10_page_3,"Organic 
glass 
cleanerNONTO INCREDIENTS
TOALLERGENIC 
STREAK FREE SHENE150ADYEfresh mint"
97,week_10_page_3,"59 FLOZ
(L8 QI) 1.75LEARTH 
FAREO 
100% RUBY RED 
GRAPEFRUM 
JUICE 
NOT FROM 
CONCENTRATE 
Freak
90 
squeezed!"
98,week_10_page_3,FREE32 FL OZ (107) 946 ml
99,week_10_page_4,EARTH FARE
100,week_10_page_4,Sales Valid Wed. September 6 - Tues. September 12
101,week_10_page_4,NON-GMO
102,week_10_page_4,ORGANIC
103,week_10_page_4,"2/$7SAVE $2.98 on 2 
5-Pack 
Non-GMO Corn 
Synonymous with summer, corn on the 
cob is a grilling favorite and a source of 
antioxidants and fiber. From non-GMO seed."
104,week_10_page_4,"2/$7 
SAVE 98¢ on 2 
Organic 
Grape 
Tomatoes 
1 Pint 
Low in calories, yet rich in vitamins and 
minerals a great way to add tasty 
fiber to your salads."
105,week_10_page_4,"ORGANIC $299/lb.
SAVE 50¢/lb. 
Organic Peaches
& Nectarines"
106,week_10_page_4,"Fresh, juicy, and a summertime favorite, peaches are full of vitamins 
and a naturally sweet addition to smoothies, pies, or over ice cream. 
Loved for their juicy, fragrant aroma, and unique taste, nectarines
are also a great source of Vitamin C and B-complex vitamins."
107,week_10_page_4,"99¢/1b.SAVE 50¢/lb. 
Watermelon 
Quarters 
Not just a juicy, sweet summer 
treat, watermelons are high in 
Vitamins A, C, and B6."
108,week_10_page_4,"5/$5SAVE $6.45 on 5 
Organic 
Cucumbers 
Low in calories, 
carbohydrates, 
sodium, and fat."
109,week_10_page_4,ORGANIC
110,week_10_page_4,"$199/lb. 
SAVE $1.50/lb. 
Organic ZucchiniRich in vitamins A and C. Perfect grilled, 
sautéed, or added to a veggie platter!$199/1b.SAVE $1/lb. 
Tomatoes 
on the Vine 
Low in calories yet rich in 
vitamins and minerals."
111,week_10_page_4,ORGANIC
112,week_10_page_4,"SAVE $3/lb.
Grass Fed 
Filet Mignon 
Never Administered Antibiotics 
or Growth Hormones, Raised
on 100% non-GMO Grass 
Pastures, High in Omega-3s
and Conjugated Linoleic Acid 
Whole Tenderloins $11.99/lb.NON-GMO$1599/lb."
113,week_10_page_4,"USDA$1 1 99/1b.
SAVE $3/lb. 
USDA Choice or Better 
Porterhouse
Steaks 
Never Administered Antibiotics or 
Growth Hormones, 100% Vegetarian
Diet, 3rd Party Certified Humanely 
Handled, Genetically Certified Angus,
Traceable from Farm to Fork 
Choice T-Bone Steaks $11.99/Ib."
114,week_10_page_4,"DAL FOODSHUMANELY HANDLED 
INDEPENDENTLY VERIFIED
Robert E. MezerFYER NATO"
115,week_10_page_4,"GRASS 
FED"
116,week_10_page_4,"4/$10SAVE $5.96 on 4 
Wild Caught 
Alaska 
Cod Cakes 
From the Meat Dept. 
3 oz. 
100% Traceable & Sustainably Sourced, 
No Water Additives or PreservativesALASKAWild, Natural & Sustainable"
117,week_10_page_4,"$799SAVE $2 
Coconut Shrimp 
Ring with Mango Sauce"
118,week_10_page_4,"$199/lb. 
SAVE $1/lb. 
Seasoned 
Half Chickens 
Moroccan, Garlic & Pepper, 
& Texas BBQ 
Never Administered Antibiotics 
or Any Added Hormones, 100% 
Vegetarian Diet, 3rd Party Certified 
Humanely Raised, Ready to Grill"
119,week_10_page_4,AmericSRTIFRESHumane
120,week_10_page_4,"While supplies last. Offers may vary by store. Subject to change without notice. Statements have not been evaluated by the Food and Drug 
Administration. Products are not intended to diagnose, treat, cure or prevent any disease. EARTH FARE and the tomato logo. Reg. U.S. Pat. & Tm. Off.12 oz. 
Free of Bleached or Bromated Flour, 
Water Additives, or Preservatives 
Priced per pound in NC, IN, & Canton MarketTO FIND THE STORE NEAREST YOU, VISIT EARTHFARE.COMThis paper made from recycled
post-consumer waste."
121,week_10_page_4,FIED
122,week_11_page_1,WE LONGE.
123,week_11_page_1,"Keep it CLEAN and the synthetic fragrances and dyes out of your 
home with our new line of Organic, Cruelty-Free, Earth Fare Brand
cleaning products. No Pthalates, No Phosphates, No Chlorine.EARTH 
FAREEARTH FARE ORGANIC CLEANING PRODUCTSORGANICNEWEARTH
FARE. 
OrganicCRUELTY
FREEthroon 
leanerergamot mintNON-TOXIC INGREDIENTS
WYPO-ALLERGENIC 
VGH ON SOAP SCUN AND STAINSISOAENTETDYE 
FREE2 FL OZ (107) 946 mLEARTH
FARE 
Organic"
124,week_11_page_1,"ALSEARTH 
FARE"
125,week_11_page_1,"EARTH 
FARE"
126,week_11_page_1,"laundry detergentfreeOrganicNON-TOXIC INGREDIENTS
HYPO-ALLERGENIC 
TOUGH OR DIRT AND STAINSClear100 FL OZ (3.12 QT) 2.95Lelesuloads"
127,week_11_page_1,"EARTH
FARE 
OrganicNON-TOXIC INGREDIENTS
HYPO-ALLERGENIC 
CHLORINE BLEACH & PHOSPHATE FREEpineUSDADYEtoilet 
bowl 
cleaner24 RL OZ 
FREE 11PT 8 OZ 709 mL"
128,week_11_page_1,"ALASKA,HEALTHY REWARDS
OFFER WITH CARD 
HEALTHY REWARDS 
OFFER WITH CARD
$249/lb.
ORGANIC
SAVE $1.50/lb. 
SAVE $2
ORGANIC
Organic Red & 
Organic Strawberries
Green Seedless Grapes 
“Known to boost an important heart antioxidant
known as glutathione, grapes can protect 
Eat them plain, or use for baking and smoothies,
against heart failure and high blood pressure."" 
these nutrient-rich and Organic berries make it easy
- Angela Hind, M.D. and Wellness Expert 
to incorporate healthy into your everyday diet.
Discount Taken at Register 
Discount Taken at Register
Country Life, 
HEALTHY REWARDS
Biochem, & Iron-Tek 
OFFER WITH CARD
BIOCHEM
BRAND WIDE SALE 
MADE 
IN HOUSE 
$799/lb.
Certified
All Sizes & Varieties
Trusted nutritional supplements 
SAVE $2/lb.
of the highest quality and purity
for your healthy day-to-day living. 
Curry Chicken Salad
HEALTHY REWARDS 
From the Deli
OFFER WITH CARD 
Signature item, made fresh in-house in 
small batches using American Humane
GLUTEN RECEIVE AN 
Certified chicken that is never administered
FREE 
antibiotics or growth hormones.
EXTRA 5% OFF 
Discount Taken at Register
Discount Taken at RegisterHEALTHY REWARDS 
OFFER WITH CARD 
$999/lb. 
SAVE $5/lb. 
Fresh, Wild Caught 
Alaska 
Salmon Fillets 
100% Traceable and Sustainably Sourced, 
All Earth Fare Salmon is non-GMO, Superior 
Flavor, Great Source of Omega-3 Fatty 
Acids, Product of the USA (Alaska) 
Discount Taken at RegisterNON-GMO– WITH – 
EARTH 
FAREOFLOW 
PRICE!Sales Valid Wed. September 13 - Tues. September 19SIGN UP FOR EMAIL DEALS & MORE AT EARTHFARE.COMVTED TIME"
129,week_11_page_1,"NON-TOXIC INGREDIENTS
HYPOALLERGENIC 
GENTEFORMAUSOA 
ORGANICDYE 
FREEFREE100 FL OZ (3.12 QT) 2.99laundry detergent"
130,week_11_page_1,"Organic
Organ 
baly 
$1299 glas
cleane 
SAVE $2
Sh mit 
Earth Fare 
Organic Laundry
Detergent 
100 oz., All Varieties"
131,week_11_page_1,"OZ (107) 946DYE 
FREEKICINGREDIENT 
ALLERGENIC 
FREE SHINE"
132,week_11_page_1,"RABLE 
FREE"
133,week_11_page_1,EST 1975
134,week_11_page_1,FREE
135,week_11_page_1,"HEALTHY REWARDS 
OFFER WITH CARDSAVE $3
New Crop
Organic 
Gala Apples
3 lb. Bag 
Crisp, with a mildly sweet
flavor and floral aroma. 
Discount Taken at RegisterVIVATIERRA
ORGANIC$399"
136,week_11_page_1,LE ONLY
137,week_11_page_1,"icanHEALTHY REWARDS 
OFFER WITH CARD 
$299/lb. 
SAVE 50¢/lb. 
Boneless, 
Skinless 
Chicken Thighs 
Never Administered Antibiotics or 
Growth Hormones, 100% Vegetarian 
Diet, 3rd Party Certified Humanely Raised 
Discount Taken at RegisterFRESHIEDSRmanes"
138,week_11_page_1,ORGANIC
139,week_11_page_1,"$399/lb.SAVE up to $4/lb. 
Ground Fresh 3X Daily 
Grass Fed or Grain Finished 
Ground Round 
Never Administered Antibiotics 
or Growth Hormones 
Discount Taken at RegisterHEALTHY REWARDS 
OFFER WITH CARDFRESH"
140,week_11_page_1,AmerPTIF
141,week_11_page_1,"Wild, Natural & Sustainable"
142,week_11_page_1,"GRASS 
FEDNON-GMO"
143,week_11_page_1,$399
144,week_11_page_1,RNIAGRAA20% OFFFROM
145,week_11_page_1,1 lb.
146,week_11_page_1,"HEALTHY REWARDS 
OFFER WITH CARD$1599/lb.SAVE $3/lb. 
Grass Fed 
Filet Mignon 
Never Administered 
Antibiotics or Growth 
Hormones, Raised on 
100% non-GMO Grass 
Pastures, High in Omega-3s 
and Conjugated Linoleic Acid 
Discount Taken at Register"
147,week_11_page_1,an Ho
148,week_11_page_1,SERTFIELmericamanes
149,week_11_page_1,"BETWEENREPOSITOREGRASSCOWS9 PROTEINWHEY CertifiedZug proteinVanilla flavorCertified Gluten FreeNon-GMO 
Free of artificalhormones 
including rest and CHCorporation"
150,week_11_page_1,оооо20. of vegetarian
151,week_11_page_1,"GRASS 
HEALTHY REWARDS FED 
OFFER WITH CARD 
$999/lb.
NON-GMO 
SAVE $3/lb. 
Grass Fed 
Strips or Ribeyes 
Never Administered Antibiotics or 
Growth Hormones, Raised on 100% 
non-GMO Grass Pastures, High in 
Omega-3s and Conjugated Linoleic Acid 
Discount Taken at Register"
152,week_11_page_1,FED
153,week_11_page_1,"Easily Digestile 
99 Lactos Free 
Soy Free 
VETEN SUPPORTER"
154,week_11_page_2,EARTH FARE O
155,week_11_page_2,"Sales Valid Wed. September 13 - Tues. September 19MADE 
IN HOUSE$699/1b.SAVE $2/lb. 
Broccoli 
Cranberry Salad 
From the Deli 
The perfect side to accompany 
any main course! Broccoli salad 
bursting with the bright flavor of 
cranberries. Made Fresh In-House"
156,week_11_page_2,"GET ONE FREEBOGO$999/Ib.BUY ONESAVE $4.99 on 2 
Kale Caesar Salad 
From the Deli
8 oz. 
A twist on a classic, using fresh kale, pumpkin seeds, and our
signature crostini from the Earth Fare Bakery! Served with a
delicious Mexican Pepita Caesar salad dressing from Cindy's 
Kitchen. Food for thought...A pepita is Spanish for pumpkin seed.
Discount Taken at RegisterMADE 
IN HOUSEHEALTHY REWARDS 
OFFER WITH CARD
BUY ONE, GET ONESAVE $2/lb. 
Dietz & Watson
Applewood 
Smoked Ham
From the Deli 
Free of Added Nitrates and Nitrites, 
Humanely Raised, Never Administered 
Antibiotics or Growth Hormones,
Freshly Sliced to OrderFREE"
157,week_11_page_2,"MADE 
IN HOUSEORGANIC$1 OFF 
Kale Lemonade 
From the Juice Bar 
12, 16, & 20 oz. 
Get the health benefits of Kale 
in this delicious and refreshing 
juice, available at the Earth Fare 
Organic Juice and Coffee Bar. 
Packed with Vitamins A, C and K."
158,week_11_page_2,2/$6
159,week_11_page_2,"HEALTHY REWARDS 
OFFER WITH CARD
$349/Pack 
FRESH
SAVE $1/Pack
10-Pack 
Mini Cookies 
From the Bakery
All Varieties 
Fresh Baked In House with No Artificial 
Sweeteners, Flavors, or Preservatives
Discount Taken at Register"
160,week_11_page_2,"FRESH 
SAVE 98¢ on 2 
Maple Caramel 
Cupcakes
100% 
From the Bakery
CLEAN 
Select Varieties 
Maple cream frosting drizzled with salted caramel atop 
a soft vanilla cupcake, topped with an Earth Fare Maple 
Creme Cookie. Baked fresh in house with cage free eggs."
161,week_11_page_2,"ORIGINALSCETRADITIONALUNCURED APPLEWOOD SMOKED HAM
EBE-BEBENELLI 
NO ANTIBIOTICS RELY ORAN-FED 
EVER
RAISEDSeidM1939"
162,week_11_page_2,"S. 
ENGA"
163,week_11_page_2,NEW
164,week_11_page_2,"DENKME$999GLUTEN-FREESAVE $4 
Prodigo 
Sangiovese 
Riserva DOCG 
750 mL, All Varieties 
Dry, full-bodied wine 
with a rich and smooth 
harmonious long finish.
Enjoy with any Italian dish 
$1199
or on its own! 
SAVE $4 
Ryder Estates 
Chardonnay,
Vega 
Cabernet, & Merlot
Vega One 
750 mL, Select Varieties
Nutritional Shakes 
Limited-production wines made 
with gapes sourced from Monterey,
All Sizes & Varieties 
CA vineyards, resulting in full flavor
All-in-one plant-based 
development and a beautiful balance.
nutritional shake.FRENCH VANILLA 
FLAVORPLANT-BASEDvega 
oneALL-IN-ONE 
NUTRITIONAL 
SHAKENO SUGAR ADDED/"
165,week_11_page_2,ORGANIC
166,week_11_page_2,"Sotru 
BRAND 
WIDE SALE 
All Sizes & Varieties 
Clean, green, whole-food 
supplements infused 
with organic and 
fermented ingredients.$999
FRESH 
EVERYDAY 
LOW PRICE 
Fresh 
Whole Fruit Tart 
From the Bakery 
3 inch 
Created in-house with whole, 
fresh berries and real cream.HEALTHY REWARDS 
OFFER WITH CARD 
RECEIVE AN 
EXTRA 5% OFF 
Discount Taken at Register20% OFFsotruFERMENTED 
WHOLE FOOD 
NUTRITION"
167,week_11_page_2,"6,000 MG NEO C'ELL 
COLLAGEN 
TYPE 1&3super 
Collagen Chair, skin, nails, joints, & bones120 tabletsCLINICALLY TESTED NEOCELL COLLAGEN
92% had increased skin hydrationNON-GMO + GLUTEN FREE
dietary supplement"
168,week_11_page_2,Collagenec
