,flyer_name,text
27,week_10_page_2,"ARenew Life 
Cleanses, Fiber Support, 
& Skinny Gut Shakes 
Select Sizes & Varieties 
USDA Certified Organic, plant-based, 
grain-free, high-protein and fiber shake. 
Helps build muscle, curbs your appetite, 
and supports healthy digestion.Renew20 PROTEIN 10 FIBER
10 BILLIONULTIMATE FLORA 
Uve Probiotic CulturesGris Free, Plaar20% 
OFF"
28,week_10_page_2,"$1099/lb. NEWSAVE $5/lb. 
Somerdale 
Rustic Red Cheddar 
Using a variation on a classic Cheddar 
recipe, this deep red English treat 
features a crumbly yet creamy paste 
with butter and light toffee flavor notes. 
Discount Taken at RegisterRUSTIC REDWESTMINSTERHEALTHY REWARDS 
OFFER WITH CARD"
29,week_10_page_2,"Why colom.SAVE 50¢ 
Highland Brewing 
Clawhammer 
6 Pack, Select Varieties 
Full-bodied Marzen-style lager, brewed with 
traditional German malt and the finest noble hops. 
$8.99 in FL & TN, Save 50c; 
$8.49 in AL, GA, & OH, Save 50¢$949"
30,week_10_page_2,"aalaiClouhammer 
OkcobertEST LOCERgon. A spley hop"
31,week_10_page_2,DIETARY SUPPLEMENT
32,week_10_page_2,20% OFF
33,week_10_page_2,"ee, Plant-Based, High Protein & Fiber Powe"
34,week_10_page_2,ULTIMATE SHAKE
35,week_10_page_2,"CRUELTY
FREEVEGANPACIFICA
SEA 
FOAM"
36,week_10_page_2,"RenewLifeNOSTAVNO SODE 
IN FREE GLUTEN FREE DAIRY FASE
SMIGA KASUGERENVEGAN"
37,week_10_page_2,"осоор хvНОРЕ 
| RRECIPEORGANICANIC HO 
ORIGISAVE $3.98 on 2 
Hope 
Hummus 
8 oz., All Varieties 
Made with Extra Virgin 
Olive Oil. Organic, 
Non-GMO, Gluten Free, 
Kosher, and Vegan.2/$6"
38,week_10_page_2,"HOPE HOW GUITEIGINAL RECI
NET WT 8oz (2279)"
39,week_10_page_2,"U, GLUTEN
FREE"
40,week_10_page_2,SCOTTISH ALL MITH PUMPINSEPUMPKIN DOWN
41,week_10_page_2,PUMPKIN DOWN
42,week_10_page_2,"$999 
SAVE $1
BALLAST POINT BALLAST POINT 
Ballast Point 
Pumpkin 
Down & 
Sculpin 
6 Pack Bottles, Select Varieties 
Caramel and toffee maltiness is the perfect 
backdrop for a boatload of roasted pumpkin. 
$10.99 in NC, Save $1; $10.99 in OH, 
Everyday Low Price; Not Available in MI & INSAVE 50¢ 
Sierra Nevada 
Oktoberfest & Pale Ale 
6 Pack Bottles, Select Varieties 
This year's collaboration is with Germany's 
Grauhaus Miltenberger and the result is 
this festival beer true to their style. 
$9.99 in OH, Everyday Low Price; 
$8.99 in FL, IN, & MI, Save 50¢CO SIERAOKTOBERFEST
INTRIESOKTOBERFESTOKTOBERFEST
FESTENOSTINEP699A$949"
43,week_10_page_2,"100%
CLEAN 
SAVE $1 
Maple Caramel Cake 
From the Bakery 
4 inch 
Maple cream frosting layered vanilla 
cake, topped with salted caramel and 
a Maple Cream Cookie. Baked Fresh in 
House with Cage-Free eggs."
44,week_10_page_2,DEDICATED TO THE CRAFT
45,week_10_page_2,"$799
FRESH 
SAVE $1 
Seasonal 
Fruit Galettes 
From the Bakery 
20 oz., All Varieties 
Made with real fruit and a 
real butter crust-no fillers. 
Discount Taken at Register"
46,week_10_page_2,HUMMUS
47,week_10_page_2,$999
48,week_10_page_2,NEW
49,week_10_page_2,"$999/lb.SAVE $2/lb. 
Dietz & Watson 
Oven Roasted 
Turkey Breast
From the Deli 
Free of Added Nitrates and
Nitrites, Humanely Raised, 
Never Administered Antibiotics 
or Growth Hormones, Freshly
Sliced to Order"
50,week_10_page_2,"FREESAVE $1-$1.25 on 2
Egg Rolls & 
Spring Rolls 
From the Deli
All Varieties 
Artisanal Hand Rolled 
Vietnamese Style, No MSG
Discount Taken
at Register"
51,week_10_page_2,HALLS MILTENBERGER
52,week_10_page_2,2017OKTOBERFESTTESTERORA NEVADA20172017OKTOBERFEST
53,week_10_page_2,GET ONE FREEBUY ONEBOGO
54,week_10_page_2,1939
55,week_10_page_2,sau
56,week_10_page_2,"HEALTHY REWARDS 
OFFER WITH CARD
BUY ONE, GET ONE"
57,week_10_page_2,"HEALTHY REWARDS 
OFFER WITH CARD
FRESH 
$499/Pack 
SAVE $1.30/Pack 
5-Pack Cookies 
From the Bakery 
Select Varieties 
Fresh Baked In-House with No Artificial 
Sweeteners, Flavors, or Preservatives 
Discount Taken at Register"
58,week_10_page_2,"NATURAL *NESE 
TRADITIONAL
FAMILY RECIPES 
OVEN ROASTED 
TURKEY BREAST
NO NITRATES OR NITRITES ADDED** 
NO ANTIBIOTICS HUMANELY 
EVER
RAISED"
59,week_10_page_2,"OKTOBERFEST 
IS HERE!"
60,week_10_page_2,ORIGINALS
61,week_10_page_2,Sales Valid Wed. September 6 - Tues. September 12
62,week_10_page_2,EARTH FARE 0
63,week_10_page_3,"EARTH 
FAREO 
100% RUBY RED 
GRAPEFRUM 
JUICE 
NOT FROM 
CONCENTRATE 
Freak
90 
squeezed!59 FLOZ
(L8 QI) 1.75L"
64,week_10_page_3,"32 FL OZ (107) 946 mlNONTO INCREDIENTS
TOALLERGENIC 
STREAK FREE SHENEFREEfresh mintOrganic 
glass 
cleanerORGANIC150ASAVE 50¢ 
Earth Fare 
Organic 
Cleaners 
32 oz., All Varieties 
These effective cleaners 
are hypo-allergenic, 
non-toxic, cruelty-free, 
and free of synthetic 
dyes and fragrances.$399"
65,week_10_page_3,DYE
66,week_10_page_3,"SIGN UP & WIN! 
Sign up for Healthy Rewards
and you could win a FREE 
Thanksgiving Meal, Greens for 
A Year, Clean Pantry Makeover, 
or $500 In Earth Fare Brand 
products. Already a Healthy
Rewards member? Text 
LIVE LONGER to 71700 and 
complete your account to enter. 
earthfare.com/giveaway
No Purchase Necessary.HEALTHY 
REWARDS"
67,week_10_page_3,"$299
GLUTEN 
EVERYDAY ORGANIC
FREE 
LOW PRICE 
Earth Fare 
Organic Gluten-Free 
Crispy Rice Bars 
5 Pack, All Varieties 
Tasty, healthy, snacks that free of artificial 
flavors, sweeteners, and preservatives.25.POR 3 DAR
80 
CALOREScrispy 
rice barsOrganic VanillaPEANUT 
FREESnack 
Bars"
68,week_10_page_3,"$399EVERYDAY 
LOW PRICE
Earth Fare 
Orange & 
Grapefruit
Juices
59 oz., 
Select Varieties 
Made with 100% juice, 
not from concentrate.
Free of artificial 
preservatives, flavors,
and sweeteners."
69,week_10_page_3,"EARTH 
FARE."
70,week_10_page_3,U5-0.77 OZ (229) BARSFREE
71,week_10_page_3,-ET VITADAIRY
72,week_10_page_3,"USDA 
ORGANIC5"
73,week_10_page_3,"SAVE $2 
R.W. Knudsen 
Just Juices 
32 oz., Select Varieties 
Ripe, flavorful fruit is the key 
ingredient in these juices, 
and in some cases, it's the 
only ingredient.CON EARTH FARE BRANDEARTH 
FAREOORGANIC$699•••••••SAVE $2.98 on 2 
Late July 
Restaurant Style 
Tortilla Chips 
10-11 oz., Select Varieties 
Committed to sourcing the 
highest quality ingredients that 
are free of toxic persistent 
pesticides, artificial flavors, 
colors, and preservatives.2/$511oz (3129)"
74,week_10_page_3,INGREDIENTS
75,week_10_page_3,EARTH FARE
76,week_10_page_3,MADE WITH
77,week_10_page_3,OR A NICJUST TART CHERRYSuity
78,week_10_page_3,"ORGANICSAVE $1.98 on 2 
Lundberg 
Organic 
Ready-to-Eat Rice 
8 oz., Select Varieties 
Since 1937, the Lundberg family has 
been growing healthy, great tasting rice 
while respecting and sustaining the earth.USDA 
ORGANICNDBER2/$5SEN
SUGGESTEN 
NET WT 80ORGANIC 
Red & White 
Jasmine 90IMPORTED FROM THAILANDTHAI HOM MALI RICESTEAMED"
79,week_10_page_3,"USDA 
CORE"
80,week_10_page_3,"KEEP FROZEN 
NET WT 10 oz (2849)"
81,week_10_page_3,Organic
82,week_10_page_3,"farmORGANIC 
BLUEBERRIESORGANIC"
83,week_10_page_3,να το
84,week_10_page_3,Earthbound
85,week_10_page_3,ORGANIC
86,week_10_page_3,NET WT. 12 oz. (340
87,week_10_page_3,ETT Gari
88,week_10_page_3,NETWI
89,week_10_page_3,PERI
90,week_10_page_3,"AMAZINGLY DELICIOUSRestaurant Style
TORTILLA CHIPSOrganicESTILO 
CAUDARTELATEJULYPERFECT FOR PARTIES with FRIENDSV"
91,week_10_page_3,"Connected by Naturetrū RootsMinutesREADYGluten FreeSPROUTED 
QUINOAORGANIC"
92,week_10_page_3,"LENTIL CHIPSGRAMSsea saltBAKEDSAFFRON 
ROADSOURCE 
CF Filtr• LETT FREE 
• TOE LESS FAT2/$7COSAVE 98¢ on 2
Saffron Road 
Lentil Chips
4 oz., Select Varieties 
Healthy snacking that unlocks the 
power of lentils, which are dense in 
protein, high in fiber, and low in fat."
93,week_10_page_3,Whole Grain
94,week_10_page_3,"2/$7SAVE 98¢ on 2
Health Ade 
Kombucha 
16 oz., Select Varieties 
Certified Organic, non-GMO, 
Gluten-Free, Raw, Vegan, 
Kosher and 100% Natural."
95,week_10_page_3,"$399SAVE $1 
Earthbound Farms
Frozen Fruit 
8-20 oz., Select Varieties 
Premium, organic fruit grown by
using sustainable farming and 
keeping synthetic chemicals out
of the environment."
96,week_10_page_3,THIN & CRIS
97,week_10_page_3,SNACKSSEA SALT
98,week_10_page_3,"15ORGANIC 
Low Glycemic"
99,week_10_page_3,"HEALTH-ADE 
KOMBUCHAPINK LADY APPLE:AZ OPINTOMDRIEREa bubbly probiotic tea"
100,week_10_page_3,"25% OFFTruroots 
Organic Pasta, 
Rice, & Quinoa 
5-12 oz., Select Varieties
These organic sprouted and 
unsprouted grains, beans, and 
seeds are perfect for everyday 
meals, are versatile and quick to 
prepare and have been dietary
staples for centuries.Sales Valid Wed. September 6 - Tues. September 12 EARTH FARE *"
101,week_10_page_3,"SAVE 98¢ on 2 
Noosa 
Yoghurt 
8 oz., Select Varieties 
Made with fresh, whole milk from happy 
cows in Northern Colorado that have 
never been treated with rBGH.NOONA2/$4"
102,week_10_page_3,"SAVE $1/lb. 
Bulk 
Pollinator Friendly 
Almond Butter 
Almond Butter gives you a dose of 
Vitamin E, helps lower cholesterol, 
and is high in magnesium, which 
boosts your overall heart health.SNDLYEARTH 
FARE 
INATOR$799/lb."
103,week_10_page_3,Foot
104,week_10_page_3,finest
105,week_10_page_3,blueberry
106,week_10_page_3,FR
107,week_10_page_3,ORGANIC
108,week_10_page_4,"This paper made from recycled
post-consumer waste."
109,week_10_page_4,"While supplies last. Offers may vary by store. Subject to change without notice. Statements have not been evaluated by the Food and Drug 
Administration. Products are not intended to diagnose, treat, cure or prevent any disease. EARTH FARE and the tomato logo. Reg. U.S. Pat. & Tm. Off."
110,week_10_page_4,"TO FIND THE STORE NEAREST YOU, VISIT EARTHFARE.COM"
111,week_10_page_4,"Wild, Natural & SustainableSAVE $5.96 on 4 
Wild Caught 
Alaska 
Cod Cakes 
From the Meat Dept. 
3 oz. 
100% Traceable & Sustainably Sourced, 
No Water Additives or Preservatives4/$10ALASKA"
112,week_10_page_4,FIEDumaneAmericFRESH
113,week_10_page_4,SRTI
114,week_10_page_4,"12 oz. 
Free of Bleached or Bromated Flour, 
Water Additives, or Preservatives 
Priced per pound in NC, IN, & Canton Market"
115,week_10_page_4,"$199/lb. 
SAVE $1/lb. 
Seasoned 
Half Chickens 
Moroccan, Garlic & Pepper, 
& Texas BBQ 
Never Administered Antibiotics 
or Any Added Hormones, 100% 
Vegetarian Diet, 3rd Party Certified 
Humanely Raised, Ready to Grill"
116,week_10_page_4,"SAVE $2 
Coconut Shrimp 
Ring with Mango Sauce$799"
117,week_10_page_4,"SAVE $3/lb.
Grass Fed 
Filet Mignon 
Never Administered Antibiotics 
or Growth Hormones, Raised
on 100% non-GMO Grass 
Pastures, High in Omega-3s
and Conjugated Linoleic Acid 
Whole Tenderloins $11.99/lb.$1599/lb.NON-GMOGRASS 
FED"
118,week_10_page_4,"USDADAL FOODSHUMANELY HANDLED 
INDEPENDENTLY VERIFIED
Robert E. Mezer$1 1 99/1b.
SAVE $3/lb. 
USDA Choice or Better 
Porterhouse
Steaks 
Never Administered Antibiotics or 
Growth Hormones, 100% Vegetarian
Diet, 3rd Party Certified Humanely 
Handled, Genetically Certified Angus,
Traceable from Farm to Fork 
Choice T-Bone Steaks $11.99/Ib.FYER NATO"
119,week_10_page_4,"SAVE $1/lb. 
Tomatoes 
on the Vine 
Low in calories yet rich in 
vitamins and minerals.$199/1b.Rich in vitamins A and C. Perfect grilled, 
sautéed, or added to a veggie platter!$199/lb. 
SAVE $1.50/lb. 
Organic Zucchini"
120,week_10_page_4,ORGANIC
121,week_10_page_4,"SAVE $6.45 on 5 
Organic 
Cucumbers 
Low in calories, 
carbohydrates, 
sodium, and fat.ORGANIC5/$5"
122,week_10_page_4,"SAVE 50¢/lb. 
Watermelon 
Quarters 
Not just a juicy, sweet summer 
treat, watermelons are high in 
Vitamins A, C, and B6.99¢/1b."
123,week_10_page_4,"Fresh, juicy, and a summertime favorite, peaches are full of vitamins 
and a naturally sweet addition to smoothies, pies, or over ice cream. 
Loved for their juicy, fragrant aroma, and unique taste, nectarines
are also a great source of Vitamin C and B-complex vitamins."
124,week_10_page_4,"SAVE $2.98 on 2 
5-Pack 
Non-GMO Corn 
Synonymous with summer, corn on the 
cob is a grilling favorite and a source of 
antioxidants and fiber. From non-GMO seed.2/$7"
125,week_10_page_4,"ORGANIC $299/lb.
SAVE 50¢/lb. 
Organic Peaches
& Nectarines"
126,week_10_page_4,"2/$7 
SAVE 98¢ on 2 
Organic 
Grape 
Tomatoes 
1 Pint 
Low in calories, yet rich in vitamins and 
minerals a great way to add tasty 
fiber to your salads."
127,week_10_page_4,ORGANIC
128,week_10_page_4,NON-GMO
129,week_10_page_4,Sales Valid Wed. September 6 - Tues. September 12
130,week_10_page_4,EARTH FARE
131,week_11_page_1,SIGN UP FOR EMAIL DEALS & MORE AT EARTHFARE.COM
132,week_11_page_1,BETWEEN
133,week_11_page_1,"Certified Gluten FreeZug proteinVanilla flavorREPOSITORE9 PROTEINWHEY CertifiedEasily Digestile 
99 Lactos Free 
Soy Free 
VETEN SUPPORTER"
134,week_11_page_1,COWSGRASS
135,week_11_page_1,"20. of vegetarianNon-GMO 
Free of artificalhormones 
including rest and CH"
136,week_11_page_1,FED
137,week_11_page_1,"SAVE $3/lb. 
Grass Fed 
Filet Mignon 
Never Administered 
Antibiotics or Growth 
Hormones, Raised on 
100% non-GMO Grass 
Pastures, High in Omega-3s 
and Conjugated Linoleic Acid 
Discount Taken at Register$1599/lb.HEALTHY REWARDS 
OFFER WITH CARD"
138,week_11_page_1,Corporation
139,week_11_page_1,"GRASS 
HEALTHY REWARDS FED 
OFFER WITH CARD 
$999/lb.
NON-GMO 
SAVE $3/lb. 
Grass Fed 
Strips or Ribeyes 
Never Administered Antibiotics or 
Growth Hormones, Raised on 100% 
non-GMO Grass Pastures, High in 
Omega-3s and Conjugated Linoleic Acid 
Discount Taken at Register"
140,week_11_page_1,FIELmanesSERTmerica
141,week_11_page_1,оооо
142,week_11_page_1,an Ho
143,week_11_page_1,"HEALTHY REWARDS
OFFER WITH CARD 
HEALTHY REWARDS 
OFFER WITH CARD
$249/lb.
ORGANIC
SAVE $1.50/lb. 
SAVE $2
ORGANIC
Organic Red & 
Organic Strawberries
Green Seedless Grapes 
“Known to boost an important heart antioxidant
known as glutathione, grapes can protect 
Eat them plain, or use for baking and smoothies,
against heart failure and high blood pressure."" 
these nutrient-rich and Organic berries make it easy
- Angela Hind, M.D. and Wellness Expert 
to incorporate healthy into your everyday diet.
Discount Taken at Register 
Discount Taken at Register
Country Life, 
HEALTHY REWARDS
Biochem, & Iron-Tek 
OFFER WITH CARD
BIOCHEM
BRAND WIDE SALE 
MADE 
IN HOUSE 
$799/lb.
Certified
All Sizes & Varieties
Trusted nutritional supplements 
SAVE $2/lb.
of the highest quality and purity
for your healthy day-to-day living. 
Curry Chicken Salad
HEALTHY REWARDS 
From the Deli
OFFER WITH CARD 
Signature item, made fresh in-house in 
small batches using American Humane
GLUTEN RECEIVE AN 
Certified chicken that is never administered
FREE 
antibiotics or growth hormones.
EXTRA 5% OFF 
Discount Taken at Register
Discount Taken at RegisterHEALTHY REWARDS 
OFFER WITH CARD 
$999/lb. 
SAVE $5/lb. 
Fresh, Wild Caught 
Alaska 
Salmon Fillets 
100% Traceable and Sustainably Sourced, 
All Earth Fare Salmon is non-GMO, Superior 
Flavor, Great Source of Omega-3 Fatty 
Acids, Product of the USA (Alaska) 
Discount Taken at RegisterNON-GMOALASKA,FRESHmanesHEALTHY REWARDS 
OFFER WITH CARD 
$299/lb. 
SAVE 50¢/lb. 
Boneless, 
Skinless 
Chicken Thighs 
Never Administered Antibiotics or 
Growth Hormones, 100% Vegetarian 
Diet, 3rd Party Certified Humanely Raised 
Discount Taken at RegisterIEDAmerSAVE $3
New Crop
Organic 
Gala Apples
3 lb. Bag 
Crisp, with a mildly sweet
flavor and floral aroma. 
Discount Taken at Register$399HEALTHY REWARDS 
OFFER WITH CARDVIVATIERRA
ORGANICORGANICSR"
144,week_11_page_1,20% OFF
145,week_11_page_1,1 lb.
146,week_11_page_1,RNIAFROMGRAA
147,week_11_page_1,$399
148,week_11_page_1,"NON-GMOGRASS 
FED"
149,week_11_page_1,"FRESHHEALTHY REWARDS 
OFFER WITH CARDSAVE up to $4/lb. 
Ground Fresh 3X Daily 
Grass Fed or Grain Finished 
Ground Round 
Never Administered Antibiotics 
or Growth Hormones 
Discount Taken at Register$399/lb."
150,week_11_page_1,"Wild, Natural & Sustainable"
151,week_11_page_1,PTIF
152,week_11_page_1,ican
153,week_11_page_1,"24 RL OZ 
FREE 11PT 8 OZ 709 mLLE ONLYtoilet 
bowl 
cleanerSales Valid Wed. September 13 - Tues. September 19EARTH
FARE 
OrganicNON-TOXIC INGREDIENTS
HYPO-ALLERGENIC 
CHLORINE BLEACH & PHOSPHATE FREEpine– WITH – 
EARTH 
FAREOFREEUSDA"
154,week_11_page_1,"VTED TIMEFLOW 
PRICE!"
155,week_11_page_1,EST 1975
156,week_11_page_1,DYE
157,week_11_page_1,"laundry detergentfreeloadsNON-TOXIC INGREDIENTS
HYPO-ALLERGENIC 
TOUGH OR DIRT AND STAINSelesuClearOrganic100 FL OZ (3.12 QT) 2.95LALS"
158,week_11_page_1,"OZ (107) 946KICINGREDIENT 
ALLERGENIC 
FREE SHINEDYE 
FREE"
159,week_11_page_1,"2 FL OZ (107) 946 mLDYE 
FREEENTETNON-TOXIC INGREDIENTS
WYPO-ALLERGENIC 
VGH ON SOAP SCUN AND STAINSergamot mintthroon 
leanerEARTH
FARE. 
OrganicNEWISOAKeep it CLEAN and the synthetic fragrances and dyes out of your 
home with our new line of Organic, Cruelty-Free, Earth Fare Brand
cleaning products. No Pthalates, No Phosphates, No Chlorine.EARTH FARE ORGANIC CLEANING PRODUCTSORGANICCRUELTY
FREEEARTH 
FAREWE LONGE."
160,week_11_page_1,"100 FL OZ (3.12 QT) 2.99DYE 
FREEUSOA 
ORGANICNON-TOXIC INGREDIENTS
HYPOALLERGENIC 
GENTEFORMAlaundry detergentFREE"
161,week_11_page_1,"RABLE 
FREE"
162,week_11_page_1,"Organic
Organ 
baly 
$1299 glas
cleane 
SAVE $2
Sh mit 
Earth Fare 
Organic Laundry
Detergent 
100 oz., All Varieties"
163,week_11_page_1,"EARTH 
FARE"
164,week_11_page_1,"EARTH
FARE 
Organic"
165,week_11_page_1,"EARTH 
FARE"
166,week_11_page_2,PHILOSOPHY
167,week_11_page_2,"- Artificial fats and trans-fats
Artificial preservativesAntibiotics 
Artificial sweeteners 
Artificial colors or flavors"
168,week_11_page_2,"- Added hormones 
- High fructose corn syrup 
• Bleached or bromated flour"
169,week_11_page_2,cond WE PLEDGE OUR FOOD IS FREE OF:
170,week_11_page_2,OUR
171,week_11_page_2,"GLUTEN 
FREE"
172,week_11_page_2,"/ALL-IN-ONE 
NUTRITIONAL 
SHAKEvega 
oneNO SUGAR ADDEDPLANT-BASEDFRENCH VANILLA 
FLAVORGLUTEN-FREEORGANICDENKMESAVE $4 
Prodigo 
Sangiovese 
Riserva DOCG 
750 mL, All Varieties 
Dry, full-bodied wine 
with a rich and smooth 
harmonious long finish.
Enjoy with any Italian dish 
$1199
or on its own! 
SAVE $4 
Ryder Estates 
Chardonnay,
Vega 
Cabernet, & Merlot
Vega One 
750 mL, Select Varieties
Nutritional Shakes 
Limited-production wines made 
with gapes sourced from Monterey,
All Sizes & Varieties 
CA vineyards, resulting in full flavor
All-in-one plant-based 
development and a beautiful balance.
nutritional shake.$999
FRESH 
EVERYDAY 
LOW PRICE 
Fresh 
Whole Fruit Tart 
From the Bakery 
3 inch 
Created in-house with whole, 
fresh berries and real cream.$999"
173,week_11_page_2,"GLUTEN 
FREE"
174,week_11_page_2,"NEW 20707 13 L 58: Dietary SupplementNON-GMO20% OFFHEALTHY REWARDS 
OFFER WITH CARD 
RECEIVE AN 
EXTRA 5% OFF 
Discount Taken at RegisterFerme
& Veget 
Digestive Enzymes
& PrahaSOITU PROTEIN
ORGANICSotru 
BRAND 
WIDE SALE 
All Sizes & Varieties 
Clean, green, whole-food 
supplements infused 
with organic and 
fermented ingredients."
175,week_11_page_2,"| NeoCell
Collagen 
Supplements
All Sizes & Varieties 
Designed specifically to support the 
Collagen systems in our bodies such as 
those that maintain vibrant youth, radiant
beauty, and total body wellness.
HEALTHY REWARDS 
OFFER WITH CARD
RECEIVE AN 
EXTRA 5% OFF 
Discount Taken at RegisterCLINICALLY TESTED NEOCELL COLLAGEN
92% had increased skin hydrationhair, skin, nails, joints, & bonessuper 
Collagen C20%6,000 MG NEO C'ELL 
COLLAGEN 
TYPE 1&3"
176,week_11_page_2,VEGAN
177,week_11_page_2,20% OFF
178,week_11_page_2,NON-GMO
179,week_11_page_2,"ORGANICVegan ProtFERMENTED 
WHOLE FOOD 
NUTRITIONsotru"
180,week_11_page_2,"RRERVAPRODIGO 
SANGIOVESE DI ROMAGNA
DO.CASS"
181,week_11_page_2,"NON-GMO + GLUTEN FREE
dietary supplement120 tablets"
182,week_11_page_2,CENTRAL coast CALIFORNIA
183,week_11_page_2,"RYDERChardonnayESTATE 
www"
184,week_11_page_2,OFF
185,week_11_page_2,Collagenec
186,week_11_page_2,NEW
