flyer_name,product_name,unit_promo_price,uom,least_unit_for_promo,save_per_unit,discount,organic
week_10_page_4,5-Pack Non-GMO Corn,27.0,,2.0,1.49,,0
week_10_page_4,Organic Peaches & Nectarines,2.99,,1.0,0.5,0.0016722408026755853,1
week_10_page_4,Organic Grape Tomatoes,27.0,1 pint,2.0,0.49,0.01814814814814815,1
week_10_page_4,Organic strawberries,,,1.0,,,1
week_10_page_4,5-Pack Non-GMO Corn,,,1.0,,,0
week_11_page_1,Deli case meal deals,,,1.0,,,0
week_11_page_1,Gluten-Free Bread,,,1.0,,,0
week_11_page_1,Free Range Large Brown Eggs,,,1.0,,,0
week_11_page_1,Crab Stuffed Mushrooms,,,1.0,,,0
week_11_page_1,Filet Mignon,15.99,,1.0,3.0,,0
week_11_page_1,Strips or Ribeyes,9.99,,1.0,3.0,0.003003003003003003,0
week_11_page_1,Whole Chicken,,,1.0,,,0
week_11_page_1,3 lb. Bag Organic gala Apples,,,1.0,,,0
week_11_page_1,Crab Stuffed Mushrooms,,,1.0,,,0
week_11_page_1,Ground Sirloin or Round,3.99,,1.0,4.0,,0
week_11_page_1,Natural Hamburger & Hot Dog Buns,,,1.0,,,0
week_11_page_1,Asparagus with Parmesan Vinaigrette,,24 rl oz,1.0,,,0
week_11_page_1,Ground Sirloin or Round,,tough or dirt and stainselesuclearorganic100 fl oz,1.0,,,0
week_11_page_1,Free Range Large Brown Eggs,,oz,1.0,,,0
week_11_page_1,Organic strawberries,,2 fl oz,1.0,,,1
week_11_page_1,Free Range Large Brown Eggs,,,1.0,,,0
week_11_page_1,Organic Laundry Detergent,12.99,,1.0,2.0,0.001539645881447267,1
week_11_page_1,Organic strawberries,,,1.0,,,1
week_11_page_2,Ground Sirloin or Round,,,1.0,,,0
week_11_page_2,Flour,,,1.0,,,0
week_11_page_2,Free Range Large Brown Eggs,,,1.0,,,0
week_11_page_2,Gluten-Free Oats,,,1.0,,,0
week_11_page_2,"Pinot Grigio, Rose, or Sparkling Wine",9.99,3 inch,1.0,4.0,,0
week_11_page_2,Gluten-Free Oats,,,1.0,,,0
week_11_page_2,Brand wide sale,,,1.0,,207071358.25,1
week_11_page_2,Collagen Supplements,,,1.0,,0.05,0
week_11_page_2,Vegan Mock Chicken Salad,,,1.0,,,0
week_11_page_2,5-Pack Non-GMO Corn,,,1.0,,,0
week_11_page_2,Whole Ribeyes & Strips,,,1.0,,,0
week_11_page_2,Sangiovese Riserva DOCG,,,1.0,,,0
week_11_page_2,Organic Gluten-Free Crispy Rice Bars,,,1.0,,,0
week_11_page_2,Organic California Navel Oranges,,,1.0,,,0
week_11_page_2,New York Strips,,,1.0,,,0
week_11_page_2,Oven Roasted & Applewood Smoked Turkey Breast,9.82,,999.2,,,0
week_11_page_2,Applewood Smoked Ham,,,1.0,,,0
week_11_page_2,10-Pack Mini Cookies,3.49,,1.0,1.0,0.0028653295128939827,0
week_11_page_2,Broccoli Cranberry Salad,1.0,,1.0,2.0,,1
week_11_page_3,Organic Tea,3.08,3.07 oz,1.0,0.5,0.1624012788204252,1
week_11_page_3,Organic Canned Beans,5.51,,5.0,0.39,0.0007078039927404719,1
week_11_page_3,Hamburger & Hot Dog Buns,,,1.0,,,0
week_11_page_3,Organic Canned Pumpkin,23.0,non-gmo. can,23.0,0.04,,1
week_11_page_3,Organic strawberries,,,1.0,,,1
week_11_page_3,Organic strawberries,,,1.0,,,1
week_11_page_3,Applesauce,3.99,,1.0,,,1
week_11_page_3,Organic Soy Non-Dairy Beverage,2.99,,1.0,,,1
week_11_page_3,5-Pack Large Cookies,3.19,,1.0,,,0
week_11_page_3,4-Inch Vanilla Cake,,,1.0,,,0
week_11_page_3,Unsweetened Almond Milk,,,1.0,,,0
week_11_page_3,Organic Frozen Vegetables,25.72,scrumptiousivu2/$5net wt. 7 oz,2.0,0.89,,1
week_11_page_3,Asparagus with Parmesan Vinaigrette,,,1.0,,,0
week_11_page_3,Ground Sirloin or Round,5.0,,1.0,,,0
week_11_page_3,Cookies,4.99,,1.0,0.5,,0
week_11_page_3,Organic Cereal,,,1.0,,,1
week_11_page_3,NY Strips,,,1.0,,,0
week_11_page_3,Almond Milk,3.99,,1.0,1.0,,0
week_11_page_3,Dark Chocolate Peanut Butter Malt Balls,0.5,,50.0,8.98,,1
week_11_page_3,Pre Packaged Bulk,,,1.0,,,1
week_11_page_3,Free Range Large Brown Eggs,,almondmilknsweetene48 fl oz,1.0,,,0
week_11_page_3,Salsa and Guacamole,7.99,,1.0,2.0,,0
week_11_page_3,8 OZ. KALE CAESAR SALAD FROM THE DELI,,love the cures!net wt. 7 oz,1.0,,,0
week_11_page_3,Gluten-Free Bread,,,1.0,,,0
week_11_page_3,FULL RACK OF BABY BACK RIBS,,,1.0,,,0
week_11_page_3,Healthy Meals On-The-Go,,,1.0,,,0
week_11_page_3,Organic Sugar,,,1.0,,,0
week_11_page_4,House-Made Grill-Ready Burgers,,,1.0,,,0
week_11_page_4,Ground Sirloin or Round,,,1.0,,,0
week_11_page_4,Southern Peaches,,,1.0,,,0
week_11_page_4,Bone-In Pork Chops,5.49,,1.0,1.5,0.00273224043715847,0
week_11_page_4,Sirloin Tip Roast or Stew Beef,59.91,,1.0,2.0,0.0003338340844600233,0
week_11_page_4,Maryland Crab Cakes,,,4.0,10.26,,0
week_11_page_4,Sliced Lunch Meats,,,1.0,1.0,,0
week_11_page_4,Bourbon Salmon Fillets,2.11,,2.0,1.49,,0
week_11_page_4,"Boneless, Skinless Chicken Breast",,,1.0,,,0
week_11_page_4,Maple Honey Ham,,,1.0,,,0
week_11_page_4,Beef Steak or Filet Kebobs,,,1.0,,,0
week_11_page_4,White Shrimp,9.99,,1.0,6.0,0.006006006006006006,0
week_11_page_4,Non-Fat Greek Yogurt,,,1.0,,,0
week_11_page_4,Roasted Pistachios In-Shell,,,1.0,,,0
week_11_page_4,Organic strawberries,,,1.0,,,1
week_11_page_4,Blueberries,25.0,half pint,2.0,1.99,,0
week_11_page_4,Organic Grape Tomatoes,,1 pint,2.0,1.31,,1
week_11_page_4,Cored Pineapple,3.49,,1.0,0.5,0.0014326647564469914,0
week_11_page_4,Organic strawberries,1.79,,1.0,0.7,0.003910614525139664,1
week_11_page_4,Organic Peaches & Nectarines,2.99,,1.0,1.0,,1
week_11_page_4,Asparagus,,,21.0,19.0,,0
week_11_page_4,Organic strawberries,,,1.0,,,1
week_12_page_1,Deli case meal deals,,,1.0,,,0
week_12_page_1,Cooked Shrimp,9.99,,1.0,5.0,0.005005005005005005,0
week_12_page_1,Whole Chicken,,,1.0,,,1
week_12_page_1,Meadowkaas Spring Milk Gouda,,,1.0,,,0
week_12_page_1,Organic strawberries,,,1.0,,,1
week_12_page_1,House-Made Pork Sausage,1.0,,1.0,8.0,,0
week_12_page_1,5-Pack Non-GMO Corn,,,1.0,,,0
week_12_page_1,Ground Sirloin,3.99,,1.0,4.0,,0
week_12_page_1,"Grass Fed Yougurt, & Cheese",,,1.0,,,0
week_12_page_1,Seasoned Half Chickens,,,1.0,,,0
week_12_page_1,Nutritional Bars,,,1.0,,,0
week_12_page_1,BBQ Ribs Baby Back-Full Rack,,,11.994000000000002,,,0
week_12_page_1,Wensleydale with Blueberries,,,1.0,,,0
week_12_page_1,New York Strips,,,1.0,,,0
week_12_page_2,Free Range Large Brown Eggs,,,1.0,,,0
week_12_page_2,Flour,,,1.0,,,0
week_12_page_2,Organic Red & Green Seedless Grapes,,,1.0,,,1
week_12_page_2,Pumpkin Streusel Loaf,69.91,,1.0,4.51,,0
week_12_page_2,Maple Caramel Cake,9.99,4 inch,1.0,1.0,,0
week_12_page_2,Dark & Milk Chocolate French Marshmallows,2.0,,1.0,99.93,,1
week_12_page_2,New York Strips,,,1.0,,,0
week_12_page_2,4-pack muffins,5.99,,1.0,1.0,0.001669449081803005,0
week_12_page_2,Pumpkin Streusel Loaf,,,1.0,,,0
week_12_page_2,5-Pack Non-GMO Corn,,,1.0,,,0
week_12_page_2,Fresh Mozzarella,,,1.0,,,0
week_12_page_2,Pretzel Bites,,,1.0,1.0,,0
week_12_page_2,Fresh Mozzarella,,,1.0,,,0
week_12_page_2,Fresh Mozzarella,,,1.0,,,0
week_12_page_2,Organic Peru Coffee,,,1.0,,,1
week_12_page_2,Free Range Large Brown Eggs,,,1.0,,,0
week_12_page_2,Vegan Mock Chicken Salad,,,1.0,,,0
week_12_page_2,Red Raspberry Punch Smoothie,,,1.0,1.0,,1
week_12_page_2,Premium Woodsmoked Scottish Salmon,,,1.0,,,0
week_12_page_2,Energy Seed Salad,,,1.0,39.91,,0
week_12_page_2,Vegan Mock Chicken Salad,9.99,,1.0,2.0,0.002002002002002002,0
week_12_page_2,Oven Roasted Turkey Breast,,,1.0,,,0
week_12_page_2,Applewood Smoked Turkey,9.99,,1.0,2.0,0.002002002002002002,0
week_12_page_2,Ground Sirloin or Round,4.99,,1.0,1.0,,0
week_12_page_2,Applewood Smoked Turkey Breast,,,1.0,,,0
week_12_page_3,Ground Sirloin or Round,5.0,,1.0,,,0
week_12_page_3,Key West Pink Shrimp,,,1.0,,,0
week_12_page_3,Organic Cereal,,,1.0,,,0
week_12_page_3,10-Pack Mini Cookies,,,1.0,,,0
week_12_page_3,Free Range Large Brown Eggs,,,1.0,,,0
week_12_page_3,Asparagus with Parmesan Vinaigrette,,,1.0,,,0
week_12_page_3,Whole Ribeyes & Strips,,,1.0,,,0
week_12_page_3,Organic strawberries,,,1.0,34.91,,1
week_12_page_3,Free Range Large Brown Eggs,,,1.0,,,0
week_12_page_3,Organic Red & Green Seedless Grapes,,,1.0,,,0
week_12_page_3,Frozen Vegetables,26.0,,2.0,0.39,,0
week_12_page_3,Fresh Mozzarella,,fresh from farm to tablet,1.0,,,0
week_12_page_3,Free Range Large Brown Eggs,,,1.0,,,0
week_12_page_3,Nutritional Bars,1010.15,peanut butternet wt 2.40 oz,10.0,,,1
week_12_page_3,Canned Pumpkin,25.0,,2.0,0.49,,0
week_12_page_3,Chocolate Bars,26.0,,2.0,0.79,,0
week_12_page_3,Organic strawberries,,,1.0,,,1
week_12_page_3,French Bar Soaps,,,1.0,,,0
week_12_page_3,Free Range Large Brown Eggs,,,1.0,,,0
week_12_page_4,House-Made Grill-Ready Burgers,,,1.0,,,0
week_12_page_4,Ground Sirloin or Round,,,1.0,,,0
week_12_page_4,Organic Celery,24.0,,2.0,1.99,0.08291666666666668,1
week_12_page_4,Organic strawberries,,,1.0,,,1
week_12_page_4,Carving Pumpkins,,,3.0,10.41,,0
week_12_page_4,Nectarines,,,1.0,,,0
week_12_page_4,Organic Peaches & Nectarines,2.99,,1.0,1.0,0.0033444816053511705,1
week_12_page_4,Blueberries & Blackberries,25.0,half pint,1.0,,,0
week_12_page_4,Cooking Oils,,,1.0,,,0
week_12_page_4,Organic Sweet Potatoes,1.99,,1.0,0.5,0.002512562814070352,1
week_12_page_4,Coconut & Tornado Shrimp Rings,2.12,,1.0,0.5,0.0012531328320802006,1
week_12_page_4,Crab Stuffed Mushrooms,,,1.0,,,0
week_12_page_4,Organic strawberries,,,1.0,,,1
week_12_page_4,Flank Steak,9.99,,1.0,2.0,,0
week_12_page_4,"Pinot Grigio, Rose, or Sparkling Wine",1.98,,4.0,3.75,,0
week_12_page_4,Non-Fat Greek Yogurt,,,1.0,,,0
week_12_page_4,London Broil,49.91,,1.0,3.0,,0
week_12_page_4,"Grass Fed Yougurt, & Cheese",4.99,,1.0,,,0
week_13_page_1,Deli case meal deals,,,1.0,,,0
week_13_page_1,Organic strawberries,,,1.0,,,1
week_13_page_1,Asparagus with Parmesan Vinaigrette,,,1.0,3.99,,0
week_13_page_1,Yellowfin Tuna Steaks,,,1.0,,,0
week_13_page_1,Whole Chicken,,,1.0,1.3,,0
week_13_page_1,NY Strip Steak,10.99,,1.0,6.0,,0
week_13_page_1,Fresh Mozzarella,,,1.0,,,0
week_13_page_1,Seasoned Half Chickens,,,1.0,,,0
week_13_page_1,Free Range Large Brown Eggs,,,1.0,,,0
week_13_page_1,24 Month Parmigiano Reggiano DOP,3.0,,1.0,9.0,0.009009009009009007,0
week_13_page_1,Wensleydale with Blueberries,,,1.0,,,0
week_13_page_1,Sharp Cheddar Cheese,,,1.0,,,0
week_13_page_2,Ground Sirloin or Round,,,1.0,,,0
week_13_page_2,Flour,,,1.0,,,0
week_13_page_2,Free Range Large Brown Eggs,,,1.0,,,0
week_13_page_2,Organic strawberries,,,1.0,,,1
week_13_page_2,8-Pack Mini Croissant,4.99,,1.0,1.0,,0
week_13_page_2,5-pack cookie sandwiches,5.99,,1.0,1.0,0.001669449081803005,0
week_13_page_2,Organic Red & Green Seedless Grapes,7.99,,1.0,6.99,,1
week_13_page_2,Wine,,,1.0,,,0
week_13_page_2,Vegan Mock Chicken Salad,,,1.0,,,0
week_13_page_2,Alfresco Large Grade A Eggs,,net wt 12 oz,1.0,,,0
week_13_page_2,Gluten-Free Oats,,,1.0,,,0
week_13_page_2,Organic Red & Green Seedless Grapes,5.0,,5.982,,,1
week_13_page_2,Fresh Mozzarella,,,1.0,,,0
week_13_page_2,Pumpkin Down & Sculpin,,,1.0,,,0
week_13_page_2,6-Pack Mini Maple Danish,5.99,,1.0,1.0,0.001669449081803005,0
week_13_page_2,Bone-In Pork Chops,,,1.0,,,0
week_13_page_2,Ground Sirloin or Round,,,1.0,1.0,,1
week_13_page_2,Roasted Brussels Sprouts with Garlic,9.99,,1.0,1.0,0.001001001001001001,0
week_13_page_2,Pretzel Buns,3.99,,1.0,1.0,,0
week_13_page_2,Grilled Chicken Caesar Salad,3.99,,1.0,,,0
week_13_page_2,Italian Tomato 7 Caper Orzo,,,1.0,,,0
week_13_page_2,Oven Roasted Turkey Breast,,,1.0,,,0
week_13_page_2,Chante Garlic & Herb Dip,,,1.0,,,0
week_13_page_2,Omega 3,,,1.0,,,0
week_13_page_3,Salsa and Guacamole,,,1.0,,,0
week_13_page_3,Nutritional Bars,,,1.0,,,0
week_13_page_3,4 lb. Bag of Organic Navel Oranges or 4 lb. Bag of Organic Lemons,,28 oz,1.0,,129.85,1
week_13_page_3,Bone-In Pork Chops,,,1.0,49.91,,0
week_13_page_3,Chocolate,,,1.0,,,0
week_13_page_3,Cookies,,,1.0,,,0
week_13_page_3,Double Crusted Chicken Pot Pies,,,1.0,,,0
week_13_page_3,Asparagus with Parmesan Vinaigrette,,,1.0,,,0
week_13_page_3,Brand wide sale,,,1.0,,0.25,0
week_13_page_3,Rose,,11.5 oz,1.0,,,0
week_13_page_3,Sparkling Water,,,1.0,,,0
week_13_page_3,Whole Chicken,,,1.0,,,0
week_13_page_3,Blackened Chicken Salad,,,1.0,,,0
week_13_page_3,Love Crunch Granola,,,1.0,,,0
week_13_page_3,Day Boat Sea Scallops,,,1.0,,,0
week_13_page_3,Milk Chocolate Peanut Butter Cups,2.99,,2.0,0.49,,0
week_13_page_3,Gluten-Free Bread,,,1.0,,,0
week_13_page_3,Organic Soy Free Pasture Raised Eggs,5.99,,1.0,1.0,,1
week_13_page_3,"Facial, Body, & Hair Care",,,1.0,,,0
week_13_page_3,Nutritional Bars,,net wt 1.6 oz,10.0,10.11,,0
week_13_page_3,Body Wash,9.99,,1.0,5.0,,0
week_13_page_3,Free Range Large Brown Eggs,,,1.0,,,0
week_13_page_3,Nutritional Bars,,,1.0,,,0
week_13_page_3,Omega 3,,,1.0,,,0
week_13_page_4,Bone-In Pork Chops,,,1.0,,,0
week_13_page_4,Ground Sirloin or Round,,,1.0,,,0
week_13_page_4,Organic Grape Tomatoes,27.0,1 pint,2.0,0.49,,1
week_13_page_4,Carving Pumpkins,,,3.0,10.41,,0
week_13_page_4,Organic Celery,24.0,,2.0,1.99,,1
week_13_page_4,Organic strawberries,,,1.0,,,1
week_13_page_4,Danjou Pears,,,50.0,4.98,,1
week_13_page_4,Orange Bell Peppers,24.0,,2.0,0.5,,0
week_13_page_4,Blackberries,27.0,half pint,2.0,1.49,,0
week_13_page_4,Sausage,,,1.0,59.91,,1
week_13_page_4,Sausage,,,1.0,,,0
week_13_page_4,Organic strawberries,,,1.0,,,1
week_13_page_4,Ground Sirloin or Round,4.99,,1.0,3.0,0.006012024048096192,0
week_13_page_4,Organic strawberries,,,1.0,,,1
week_13_page_4,Sirloin Tip Roast,4.99,,1.0,3.0,0.006012024048096192,0
week_13_page_4,"Grass Fed Yougurt, & Cheese",,,1.0,,,0
week_13_page_4,Meatloaf & Meatballs,4.99,,1.0,1.0,0.002004008016032064,0
week_13_page_4,NY Strip Steak,9.99,,1.0,3.0,0.003003003003003003,0
week_13_page_4,Crab Stuffed Mushrooms,,,1.0,,,0
week_13_page_4,Filet Mignon,,,4.0,,,0
week_13_page_4,Omega 3,,,1.0,,,0
week_14_page_1,Deli case meal deals,,,1.0,,,0
week_14_page_1,Crab Stuffed Mushrooms,,,1.0,,,0
week_14_page_1,"Chardonnay, Cabernet, or Sauvignon Blanc",2.0,,1.0,3.99,,0
week_14_page_1,Asparagus with Parmesan Vinaigrette,,,1.0,,,0
week_14_page_1,Organic Red & Green Seedless Grapes,,,1.0,,,0
week_14_page_1,Scottish Salmon,,,1.0,10.99,,0
week_14_page_1,Holiday Grapes,2.69,,1.0,1.3,0.00483271375464684,0
week_14_page_1,Blackened Chicken Salad,7.99,,1.0,3.0,0.0037546933667083854,0
week_14_page_1,FULL RACK OF BABY BACK RIBS,,,1.0,,,0
week_14_page_1,Organic strawberries,,,1.0,,,1
week_14_page_1,5-Pack Non-GMO Corn,,,1.0,,,0
week_14_page_1,"Organic Acorn, Butternut, & Spaghetti Squash",1.49,,1.0,1.0,0.006711409395973154,1
week_14_page_1,Seasoned Half Chickens,,,1.0,,,0
week_14_page_1,Non-Fat Greek Yogurt,,,1.0,,,0
week_14_page_1,Organic strawberries,,,1.0,,,1
week_14_page_1,Gelato,,,1.0,,,0
week_14_page_1,Organic Peanut Butter,,,1.0,,,1
week_14_page_1,Pisgah Crunch Trail Mix,,,1.0,,,0
week_14_page_1,Wensleydale with Blueberries,,,1.0,,,0
week_14_page_1,Water,,,1.0,,,0
week_14_page_1,Alkaline Water+ Electrolytes,,,1.0,,,0
week_14_page_1,Asparagus with Parmesan Vinaigrette,,,1.0,,,0
week_14_page_1,Brand wide sale,,,1.0,,,0
week_14_page_1,All Organic Juices & Smoothies,,,1.0,,,0
week_14_page_2,Ground Sirloin or Round,,,1.0,,,0
week_14_page_2,Flour,,,1.0,,,0
week_14_page_2,Free Range Large Brown Eggs,,,1.0,,,0
week_14_page_2,Red Blend & Black Blend Wine,7.99,,1.0,4.0,,0
week_14_page_2,Whole Ribeyes & Strips,,net,806.0,159.68,,1
week_14_page_2,Fast Forward,,,1.0,7.99,,0
week_14_page_2,Whole Chicken,,,1.0,,,1
week_14_page_2,Organic California Navel Oranges,,,1.0,,,0
week_14_page_2,"Pinot Grigio, Rose, or Sparkling Wine",9.99,,1.0,2.0,,0
week_14_page_2,Organic strawberries,,,1.0,,,1
week_14_page_2,Fresh Mozzarella,,,1.0,,,0
week_14_page_2,"Chardonnay, Cabernet, & Merlot",,,5.0,2.2,,0
week_14_page_2,Chardonnay,,,1.0,,,0
week_14_page_2,Whole Chicken,,,1.0,,,0
week_14_page_2,Organic strawberries,,,1.0,39.91,,1
week_14_page_2,Vegan Nuggets with Thai Chili Sauce,99.91,,1.0,21.0,0.0021018917025322787,0
week_14_page_2,Tortilla Chips,,,1.0,,,0
week_14_page_2,Organic strawberries,,,1.0,,,1
week_14_page_2,Ground Sirloin or Round,,,1.0,,,0
week_14_page_2,Chicken Breast,,,1.0,,,0
week_14_page_2,Coconut Oil Potato Chips,,,1.0,,,0
week_14_page_2,Whole Chicken,,,1.0,,,0
week_14_page_2,Asparagus with Parmesan Vinaigrette,,,1.0,,,0
week_14_page_2,Organic Soup Cups,5.99,,1.0,,,1
week_14_page_2,Greek Salad,,,1.0,,,1
week_14_page_2,Red Sunset Juice,,,1.0,1.0,,0
week_14_page_2,Made-In-House Chicken Kabobs,,,1.0,,,0
week_14_page_2,Organic strawberries,,,1.0,,,1
week_14_page_2,10-Pack Mini Cookies,,,1.0,,,0
week_14_page_3,New York Strips,,,1.0,,,0
week_14_page_3,Cookies,3.49,colo,1.0,0.5,0.0014326647564469914,0
week_14_page_3,Nutritional Bars,,,1.0,,,0
week_14_page_3,Organic Tea,,,1.0,0.5,,1
week_14_page_3,Organic Ginger Snaps,2.69,,1.0,,,1
week_14_page_3,Chocolate,,,1.0,,,0
week_14_page_3,Organic strawberries,,,1.0,,,1
week_14_page_3,Ground Sirloin or Round,,,1.0,,,1
week_14_page_3,Organic Raisins,2.49,6 pack,1.0,0.5,,1
week_14_page_3,Organic Cookies,,,1.0,,,1
week_14_page_3,Asparagus with Parmesan Vinaigrette,,,1.0,,,0
week_14_page_3,Asparagus with Parmesan Vinaigrette,,,1.0,,,0
week_14_page_3,Salsa and Guacamole,,,1.0,,,0
week_14_page_3,Peanut Butter,1645494.79,net wt 16 oz,1.0,1.2,,0
week_14_page_3,Low Fat Kefir,26.0,,2.0,0.69,,0
week_14_page_3,Whole Ribeyes & Strips,3.99,,1.0,1.0,,0
week_14_page_3,Organic PB&J Smoothie,,,1.0,,,0
week_14_page_3,Vitamin D3 & B12 Supplements,,,1.0,,0.25,0
week_14_page_3,Boston Butt Pork Roast & Boneless Country Style Ribs,,,1.0,,,0
week_14_page_3,Whole Chicken,,,1.0,,,0
week_14_page_3,Organic Red & Green Seedless Grapes,,,1.0,,,1
week_14_page_3,Bone Broth Powder,2.57,2.5 oz,1.0,8.0,3.1617217121615484,0
week_14_page_3,Chocolate,,04t5 coconutnet wt 2.40 oz,1.0,,,1
week_14_page_3,Organic Yogurt,,,3.0,0.32,,1
week_14_page_3,Nutritional Bars,,,10.0,10.1,,1
week_14_page_3,Bone Broth Powder,,,1.0,,,0
week_14_page_3,Fiesta Size Tortilla Chips,,,1.0,,,0
week_14_page_3,Asparagus with Parmesan Vinaigrette,,,1.0,,,0
week_14_page_3,Turmeric Formulas,,,1.0,,,0
week_14_page_4,Bone-In Pork Chops,,,1.0,,,0
week_14_page_4,Ground Sirloin or Round,,,1.0,,,0
week_14_page_4,Carving Pumpkins,,,3.0,10.41,,0
week_14_page_4,Organic Grape Tomatoes,27.0,1 pint,2.0,0.49,,1
